lane_id,GEX_id,address
FCAImmP7851889,FCAImmP7851897,/seq/28652/cellranger/cellranger600_vdj_28652_FCAImmP7851889_GRCh38-5_0_0
FCAImmP7964494,FCAImmP7964502,/seq/29756/cellranger/cellranger600_vdj_29756_FCAImmP7964494_GRCh38-5_0_0
FCAImmP7964497,FCAImmP7964506,/seq/29756/cellranger/cellranger600_vdj_29756_FCAImmP7964497_GRCh38-5_0_0
FCAImmP7964498,FCAImmP7964507,/seq/29756/cellranger/cellranger600_vdj_29756_FCAImmP7964498_GRCh38-5_0_0
FCA_gut8090111,FCA_gut8015057,/seq/31005/cellranger/cellranger600_vdj_31005_FCA_gut8090111_GRCh38-5_0_0
FCA_gut8090112,FCA_gut8015058,/seq/31005/cellranger/cellranger600_vdj_31005_FCA_gut8090112_GRCh38-5_0_0
FCA_gut8090113,FCA_gut8015059,/seq/31005/cellranger/cellranger600_vdj_31005_FCA_gut8090113_GRCh38-5_0_0
FCA_gut8090114,FCA_gut8015060,/seq/31005/cellranger/cellranger600_vdj_31005_FCA_gut8090114_GRCh38-5_0_0
FCA_gut8090115,FCA_gut8015061,/seq/31005/cellranger/cellranger600_vdj_31005_FCA_gut8090115_GRCh38-5_0_0
Human_colon_16S8157847,Human_colon_16S8159182,/seq/31005/cellranger/cellranger600_vdj_BCR_31005_Human_colon_16S8157847_GRCh38-5_0_0
Human_colon_16S8157848,Human_colon_16S8159183,/seq/31005/cellranger/cellranger600_vdj_BCR_31005_Human_colon_16S8157848_GRCh38-5_0_0
Human_colon_16S8157849,Human_colon_16S8159184,/seq/31005/cellranger/cellranger600_vdj_BCR_31005_Human_colon_16S8157849_GRCh38-5_0_0
Human_colon_16S8157850,Human_colon_16S8159185,/seq/31005/cellranger/cellranger600_vdj_BCR_31005_Human_colon_16S8157850_GRCh38-5_0_0
Human_colon_16S8157851,Human_colon_16S8159186,/seq/31005/cellranger/cellranger600_vdj_BCR_31005_Human_colon_16S8157851_GRCh38-5_0_0
Human_colon_16S8157852,Human_colon_16S8159187,/seq/31005/cellranger/cellranger600_vdj_BCR_31005_Human_colon_16S8157852_GRCh38-5_0_0
Human_colon_16S8157853,Human_colon_16S8159188,/seq/31005/cellranger/cellranger600_vdj_BCR_31005_Human_colon_16S8157853_GRCh38-5_0_0
Human_colon_16S8157854,Human_colon_16S8159189,/seq/31005/cellranger/cellranger600_vdj_BCR_31005_Human_colon_16S8157854_GRCh38-5_0_0
Human_colon_16S8157855,Human_colon_16S8159190,/seq/31005/cellranger/cellranger600_vdj_BCR_31005_Human_colon_16S8157855_GRCh38-5_0_0
